"","sample","response","rho","method","MSEmean","MSEsd","MAEmean","MAEsd","MSPEmean","MSPEsd","MAPEmean","MAPEsd","MSE","MAE","MSPEs","MSPE","MAPE"
"1",80,50,0,"MLR",0.000406322116803742,0.000314930721156924,0.0138146885760385,0.00523283163306947,133470827.888972,24252040.3769972,4989.11998388428,317.23911321822,"< 0.001 (< 0.001)","0.014 (0.005)","1.33e+08 (2.43e+07)","133470828 (24252040)","4989 (317)"
"2",80,50,0,"Ridge",0.0935562091434404,0.0261308804579567,0.245766369203994,0.0352982633499258,8913602.79960958,3408534.01716726,1277.70863380169,177.071601849752,"0.094 (0.026)","0.246 (0.035)","8.91e+06 (3.41e+06)","8913603 (3408534)","1278 (177)"
"3",80,50,0,"EN",0.00228031055616572,0.000642564524710368,0.0341402887726235,0.00379350829742822,119360.557964864,68258.1569389379,131.763578592108,15.4923923828367,"0.002 (< 0.001)","0.034 (0.004)","1.19e+05 (6.83e+04)","119361 (68258)","132 (15)"
"4",80,50,0,"Lasso",0.00267713233687874,0.000786505882637504,0.0372792674028851,0.00459150140677848,113022.348853515,60065.6543882055,130.509689468925,15.0087818153803,"0.003 (< 0.001)","0.037 (0.005)","1.13e+05 (6.01e+04)","113022 (60066)","131 (15)"
"5",80,50,0,"Entropy",0.00618336197338988,0.00162366394386924,0.061368366134659,0.00963418769070181,62309.6595480022,31443.4993290296,108.340143922578,13.1693843617469,"0.006 (0.002)","0.061 (0.01)","6.23e+04 (3.14e+04)","62310 (31443)","108 (13)"
"6",80,50,0.1,"MLR",2.36950462490348,2.1136733496396,1.03051741400962,0.479974272504676,110863007.335697,28204181.8357162,4817.17999482082,337.076035972931,"2.37 (2.114)","1.031 (0.48)","1.11e+08 (2.82e+07)","110863007 (28204182)","4817 (337)"
"7",80,50,0.1,"Ridge",0.0919051493465235,0.0222735887049959,0.243516241318109,0.0308091790657268,8866638.41568563,3797666.16244666,1290.93564923004,169.482580016879,"0.092 (0.022)","0.244 (0.031)","8.87e+06 (3.80e+06)","8866638 (3797666)","1291 (169)"
"8",80,50,0.1,"EN",0.00217840829401033,0.000521876784079502,0.0332372499119635,0.0032873918310286,125235.887387576,55185.1242928712,135.929046914458,15.3117120776441,"0.002 (< 0.001)","0.033 (0.003)","1.25e+05 (5.52e+04)","125236 (55185)","136 (15)"
"9",80,50,0.1,"Lasso",0.00253166051897451,0.000624972174076566,0.0362117720093712,0.00403238889743378,118900.96863197,50265.8907069999,134.565049136686,14.4950850262187,"0.003 (< 0.001)","0.036 (0.004)","1.19e+05 (5.03e+04)","118901 (50266)","135 (14)"
"10",80,50,0.1,"Entropy",0.00612319900101079,0.00185685551852068,0.0603175922488548,0.00960038940879314,69072.325652211,33536.0725868916,111.807164978258,13.4061508757585,"0.006 (0.002)","0.06 (0.01)","6.91e+04 (3.35e+04)","69072 (33536)","112 (13)"
"11",80,50,0.5,"MLR",1.48603883033011,1.5674703080529,0.829862618800916,0.401512909454695,120455448.879229,38841720.68194,4762.61751644841,393.23854624144,"1.486 (1.567)","0.83 (0.402)","1.20e+08 (3.88e+07)","120455449 (38841721)","4763 (393)"
"12",80,50,0.5,"Ridge",0.121477014466799,0.0329231780526301,0.284423499008806,0.0405747202447597,9579978.43684711,3583100.17946761,1411.55189006946,229.023436439859,"0.121 (0.033)","0.284 (0.041)","9.58e+06 (3.58e+06)","9579978 (3583100)","1412 (229)"
"13",80,50,0.5,"EN",0.00235424049704918,0.000886449953124825,0.0342525568023399,0.00481936693488632,108188.135225321,76170.0336118663,128.075183932416,18.7455904359679,"0.002 (< 0.001)","0.034 (0.005)","1.08e+05 (7.62e+04)","108188 (76170)","128 (19)"
"14",80,50,0.5,"Lasso",0.00268150299915968,0.00102066264561007,0.0370731318256174,0.00534063620525319,102628.197197234,72848.0054054444,126.198371519997,18.7079874222945,"0.003 (0.001)","0.037 (0.005)","1.03e+05 (7.28e+04)","102628 (72848)","126 (19)"
"15",80,50,0.5,"Entropy",0.00622940818290239,0.00223060150431956,0.061377096673216,0.0116837061207951,67149.6818643543,48933.6387119425,108.516886282491,13.8817496853878,"0.006 (0.002)","0.061 (0.012)","6.71e+04 (4.89e+04)","67150 (48934)","109 (14)"
"16",80,50,0.9,"MLR",3.13015979674356,4.03069426933872,1.01943467795537,0.769693881391361,110225740.520443,39957054.2921068,4504.29980869098,575.58410784363,"3.13 (4.031)","1.019 (0.77)","1.10e+08 (4.00e+07)","110225741 (39957054)","4504 (576)"
"17",80,50,0.9,"Ridge",0.163570617922454,0.0341701525962788,0.331851025742417,0.0411170643004621,7442177.41636131,4186033.76708598,1236.8139076995,224.950697483859,"0.164 (0.034)","0.332 (0.041)","7.44e+06 (4.19e+06)","7442177 (4186034)","1237 (225)"
"18",80,50,0.9,"EN",0.00583325076952872,0.00279183608054434,0.0462785588800087,0.0114019963768838,135531.779701841,104737.486175179,141.814488822783,36.7703569653168,"0.006 (0.003)","0.046 (0.011)","1.36e+05 (1.05e+05)","135532 (104737)","142 (37)"
"19",80,50,0.9,"Lasso",0.00529900201264723,0.00223821134133158,0.0439511541957435,0.00948351733241476,121484.750318995,87867.5005578492,132.851734172281,31.7638337749741,"0.005 (0.002)","0.044 (0.009)","1.21e+05 (8.79e+04)","121485 (87868)","133 (32)"
"20",80,50,0.9,"Entropy",0.00997772876290839,0.00304778804504136,0.073853833317749,0.0120426449980041,42367.6233552725,15238.4838114658,103.747514311352,11.5228825104066,"0.01 (0.003)","0.074 (0.012)","4.24e+04 (1.52e+04)","42368 (15238)","104 (12)"
